"","ntaname","ntacode","WKT","CRIME_CNT","FELONY_CNT","WHITE_ALONE","TOTAL_POPN","NATIVE_BORN","FOREIGN_BORN","TOTAL_CHILD","RENT_AGG"
"1","Bay Ridge","BK31","MULTIPOLYGON (((-74.0326655899793 40.64372034478,-74.0326063768145 40.6436989011985,-74.0290553984281 40.6417253430573,-74.0288966684102 40.6412140218121,-74.0289082987807 40.641173410836,-74.02839277768 40.6409631366368,-74.028027753049 40.6407934897272,-74.0274271144524 40.6405143366735,-74.0270343937648 40.640349986267,-74.0269198131103 40.6403085081434,-74.0267429245558 40.6402444679447,-74.0266232384488 40.6402011358375,-74.0262626734017 40.6400943818405,-74.0262861196833 40.6400745288858,-74.0263500761345 40.6400184657637,-74.0264643497059 40.6399182931935,-74.026599844028 40.6397865611154,-74.0266425154354 40.6397474325057,-74.0268612935721 40.6395362910661,-74.0269524473374 40.6394460650447,-74.0247543760483 40.6381214180916,-74.0245384185755 40.6383249376008,-74.0241709467004 40.6386693708783,-74.0239261071215 40.6388988581835,-74.0235493908876 40.6393203336924,-74.0235178724573 40.6394447739146,-74.0234820367264 40.6395332133109,-74.0234682183412 40.6395673354794,-74.0234008536295 40.6396857318485,-74.0233168302438 40.6397977817248,-74.0232178021328 40.6399015146036,-74.0231059320848 40.6399953259268,-74.0225901669584 40.6404391060375,-74.022462538692 40.6405388990808,-74.0222879086973 40.6406388361287,-74.0222256216767 40.6406778225013,-74.021809032019 40.6409504095359,-74.0217267600027 40.6410049420426,-74.0215200108044 40.6411533678813,-74.0212011818474 40.6413869402799,-74.0211362597744 40.641433968244,-74.0211113681849 40.6414520017221,-74.0210657578158 40.6414816361468,-74.0210436241092 40.6414676867574,-74.0210148156657 40.6414510882841,-74.0209746546023 40.6414296122746,-74.0210086264042 40.6413886988166,-74.0210390154627 40.6413419111172,-74.0210783455168 40.6412879007935,-74.0211749539867 40.6411546945988,-74.0214073929519 40.6407900435329,-74.0215180425887 40.6405583783024,-74.0215485160466 40.6404898720618,-74.0215938279718 40.6403623930171,-74.0216399104541 40.6401979836708,-74.0216586480963 40.6401098226564,-74.0216884611823 40.6398307771355,-74.0216942842389 40.639705804528,-74.021691723741 40.6395807684336,-74.0216807864142 40.6394559949884,-74.0216615008926 40.6393318094228,-74.021633917406 40.6392085358726,-74.0215981079467 40.6390864958749,-74.0215603683162 40.6389828437175,-74.0215164549171 40.6388806124377,-74.0214664593877 40.6387800153057,-74.0214104860531 40.6386812621814,-74.0213486517559 40.6385845593957,-74.0212810854816 40.6384901083646,-74.0212079282054 40.6383981061243,-74.0211293325644 40.6383087446018,-74.0210873117535 40.6382635879785,-74.021052986947 40.6382266915977,-74.0209074004978 40.638080305809,-74.0207733057556 40.6379594688674,-74.0205426995401 40.6377745918535,-74.0202929162028 40.6375973532054,-74.0200572173504 40.6374372389986,-74.0197129379459 40.637231482913,-74.0195946915436 40.6371614539314,-74.0195045996874 40.637108574471,-74.0189652163401 40.6367848177005,-74.0179505358187 40.6361896093912,-74.0175085331409 40.6359151988232,-74.0174575079645 40.6358835766945,-74.0172166774476 40.6357201055057,-74.0170114882671 40.6355606326415,-74.0168102616369 40.6353974291417,-74.0166263767022 40.6352155522287,-74.0165606809372 40.6351447978254,-74.0164424262173 40.6350090054458,-74.0164017778024 40.6349593410511,-74.0162727913881 40.6347708978156,-74.0162004204225 40.6346416006292,-74.0161397066363 40.6345193585346,-74.0160861199257 40.6343951976943,-74.016039764276 40.6342693591361,-74.0160007296337 40.6341420871431,-74.015969091732 40.6340136287798,-74.0159449117231 40.63388423313,-74.0159282367721 40.6337541516498,-74.0159190992045 40.6336236368554,-74.015917516714 40.6334929421025,-74.0159234923283 40.6333623210949,-74.0158615085931 40.6333913261761,-74.0156020490326 40.6335169779416,-74.0151463068012 40.6332219384873,-74.0154240980291 40.6325131390973,-74.0157480433654 40.6317642692115,-74.0160482033482 40.6310328886448,-74.0163432232505 40.6302855959312,-74.0166433647386 40.6295760786951,-74.0169264479982 40.6288356386856,-74.01696955052 40.6287287859119,-74.0172228810005 40.628100689353,-74.0178419330211 40.6265906943767,-74.0188579141524 40.6242740620301,-74.0186150328939 40.6243691838824,-74.0186505475508 40.6242905130028,-74.0187398607248 40.6241852032605,-74.018822059818 40.6240765823739,-74.0188969339175 40.6239649290976,-74.0189642911152 40.6238505295845,-74.0190239582996 40.623733677771,-74.0190757823869 40.623614673535,-74.0193870292767 40.6228918191997,-74.0197049155713 40.6221849650081,-74.0200866720257 40.6224209531646,-74.0201374125295 40.6223435406393,-74.02035701583 40.6221229969182,-74.0204240990772 40.6221633098637,-74.0206082815107 40.6219261742004,-74.0206233096821 40.6218062515636,-74.0209036827417 40.6215261663598,-74.0211769939413 40.6212578568601,-74.0217292553152 40.6206794531413,-74.0218015423918 40.6206031661089,-74.0222737859994 40.6201090586206,-74.0228759867753 40.619466147909,-74.0236335047384 40.6185376482799,-74.0238736705958 40.6182593195259,-74.0246246125293 40.6173890240165,-74.0252532717487 40.616678457892,-74.0257498906007 40.6160582231955,-74.0260701313678 40.6154866669525,-74.0262473237594 40.6151047813876,-74.0265146314797 40.6146703268315,-74.0273688045204 40.6132345161087,-74.0275429719458 40.6129371832041,-74.0265322821673 40.6124253707681,-74.0263760905715 40.6124506034021,-74.027106605568 40.6102439563241,-74.0249793245522 40.6097419751883,-74.0247773224602 40.6096959980294,-74.0245785549298 40.6102233019748,-74.0245959381563 40.6101092245951,-74.0245944168884 40.6099920414176,-74.0245730766843 40.6098745287598,-74.0245319598248 40.6097595959098,-74.0244720751144 40.6096500825832,-74.024395343268 40.6095485349511,-74.024304375453 40.609456969142,-74.0236613441385 40.6090813063078,-74.022681807437 40.6085090394435,-74.0215060289086 40.6078220988329,-74.0224776942548 40.6066742156477,-74.0207854090732 40.6056736855123,-74.0212250835914 40.6047380622665,-74.0213946723153 40.6044939987718,-74.0212994914142 40.6044283229421,-74.0205358357058 40.6041964185864,-74.0192423945682 40.6037785012413,-74.0191897141796 40.6037618397333,-74.0191231653356 40.6037397706606,-74.0186913570825 40.6036079239394,-74.018713822232 40.6035820759074,-74.019176851139 40.603154422803,-74.0191808894759 40.6031495951135,-74.0192315032534 40.6031021742477,-74.0193934350534 40.6029117612818,-74.0194276088975 40.602871578348,-74.019747728448 40.6030848092639,-74.0201043756255 40.603259552474,-74.0202469222392 40.6033243178239,-74.0203938499672 40.6033831211798,-74.0205447299712 40.6034357909077,-74.0206991218734 40.6034821732762,-74.0208565750431 40.6035221329048,-74.0210166299113 40.6035555531597,-74.0211788193131 40.6035823364936,-74.0213426698512 40.6036024047313,-74.0215077032786 40.6036156992975,-74.0251466824818 40.6040831237273,-74.0293088286275 40.6045990640619,-74.0300514654768 40.604759173812,-74.0308851121656 40.605184563753,-74.0310161227128 40.6052514141152,-74.0314347165998 40.6055294663081,-74.0317963379444 40.6057802745959,-74.0318603999744 40.6058111847287,-74.0321315955129 40.6059018357617,-74.0327068147989 40.6063310660381,-74.0335922408201 40.6070826074389,-74.0337835067922 40.607254349886,-74.0342728053947 40.6077174787329,-74.0343553603929 40.6078229744082,-74.0344300462957 40.607931823169,-74.0344966293679 40.6080436844216,-74.0345392968579 40.6081405553545,-74.0345901403734 40.6082351064089,-74.0346489446757 40.6083269372527,-74.0347154608169 40.6084156590702,-74.0347894071938 40.6085008962076,-74.0348704707392 40.608582287764,-74.0349583082476 40.6086594891201,-74.0350525478283 40.6087321733967,-74.0351527904791 40.6088000328398,-74.0352586117765 40.608862780123,-74.0353037125144 40.6088882352686,-74.0353517024384 40.6089104106754,-74.0354021721903 40.6089291171841,-74.0354771543369 40.6089450487605,-74.0355494097886 40.608967116876,-74.0356180767648 40.6089950583281,-74.035682336281 40.6090285398638,-74.0357414219166 40.6090671621539,-74.0357946289556 40.6091104645553,-74.0360397777792 40.6092956390019,-74.0360805816691 40.6093468863874,-74.0361133550141 40.6093947289095,-74.0362101028571 40.6096010411228,-74.03629809448 40.6098096179502,-74.0363772387649 40.6100202435995,-74.0364474537446 40.6102327001565,-74.0365086666884 40.6104467678108,-74.0365629009673 40.6105875865317,-74.0366254102595 40.610726398777,-74.0366960675091 40.610862922285,-74.0367747290899 40.6109968794461,-74.0368612350964 40.6111279978676,-74.0369554096693 40.6112560109274,-74.0370570613521 40.6113806583168,-74.0371659834806 40.6115016865694,-74.0372819546029 40.6116188495769,-74.0374047389294 40.6117319090896,-74.0375340868119 40.6118406352011,-74.0387305093143 40.6129437613421,-74.0389201610342 40.6131416715866,-74.039205576474 40.6134395127337,-74.0394415051528 40.6137759441919,-74.0398236508975 40.6143273886638,-74.0402342727845 40.6150282566493,-74.0403813233868 40.6153417823284,-74.0404761202149 40.6156252631615,-74.0407276051779 40.6170504158927,-74.0408614076922 40.617630765285,-74.0410175065469 40.6183078055247,-74.041127772883 40.618786056113,-74.0413752289159 40.6199935529652,-74.0414338599224 40.6200832821062,-74.0414854001621 40.6201755041768,-74.0415296679683 40.62026989417,-74.0415665073013 40.6203661194365,-74.0415957882992 40.6204638408584,-74.0416174077357 40.6205627140431,-74.0416221976546 40.620668758078,-74.0416233689153 40.6207748611501,-74.0416178557304 40.6209422590323,-74.0416033381146 40.6211093438229,-74.041579840425 40.6212758344175,-74.0415996813114 40.6214663151838,-74.0416711974167 40.6220918059191,-74.0417493234625 40.6224569956695,-74.0416949017986 40.6228024562284,-74.0417083251721 40.6232449341951,-74.0417101581247 40.6233053206118,-74.0417579401213 40.6234283208545,-74.0417987681907 40.6235527668442,-74.0418325674458 40.6236784304404,-74.041859275884 40.6238050812694,-74.0418788445011 40.6239324871462,-74.0418912373814 40.6240604145004,-74.0418964317639 40.624188628804,-74.0418966070505 40.6242174302817,-74.0418943598299 40.6243182189414,-74.0418876636114 40.6244188929392,-74.0418765259563 40.6245193382939,-74.0417566930148 40.6250550601989,-74.041683215349 40.6253835421746,-74.0416420772683 40.6260093579247,-74.0415662473388 40.6267435941552,-74.0414291871025 40.6280706651569,-74.0414165035367 40.6281499605455,-74.0413029338523 40.6288600136901,-74.0412770160936 40.6290220605701,-74.0410906211758 40.6297257004286,-74.0411031727373 40.6298190010007,-74.0411068494914 40.6299127485139,-74.0411016322077 40.6300064535989,-74.0410875480836 40.6300996271055,-74.0410646706031 40.6301917826564,-74.0410331191539 40.6302824391864,-74.0409930584047 40.6303711234532,-74.0409446974469 40.6304573725085,-74.040888288703 40.6305407361141,-74.0408241266101 40.6306207790931,-74.0407525460828 40.6306970836016,-74.0406588539327 40.6308887529338,-74.0402891153532 40.6317163045763,-74.0401548100985 40.632016901563,-74.0399179062502 40.6325344432045,-74.039293886904 40.6338863542964,-74.0384323056841 40.6356851886395,-74.0381605859816 40.6362439800818,-74.0378337608468 40.6369160833306,-74.0374542493744 40.6376965153072,-74.0370895784709 40.638446409445,-74.0368066204885 40.6389842215455,-74.0387629792076 40.6395882589805,-74.0386880469073 40.6397382560296,-74.0367248437488 40.6391411902067,-74.0366064144447 40.6393630184538,-74.0364794917438 40.6395821042202,-74.0363441848551 40.639798258853,-74.0362006102104 40.640011296222,-74.0360856095198 40.640171590995,-74.0359659274958 40.6403298848432,-74.035841624074 40.6404860984508,-74.035712761507 40.6406401535439,-74.0359803944724 40.6409459490685,-74.0363505536881 40.6411543836094,-74.0367398662957 40.6414763654587,-74.0367572887095 40.6414958750387,-74.0367703428426 40.6415172730085,-74.0367786854673 40.6415399967658,-74.0367820972313 40.6415634488493,-74.0367804884261 40.6415870126478,-74.0367739013457 40.6416100686124,-74.0367625091755 40.6416320105453,-74.0367466114392 40.6416522615391,-74.0367266261241 40.6416702891448,-74.0367030786911 40.6416856193714,-74.0344519318136 40.6438267866823,-74.0345382973941 40.64387638151,-74.0340732929426 40.6443139329639,-74.0328429194788 40.6435637103508,-74.0326655899793 40.64372034478)))",6,5,67788,115389,73404,41985,23484,NA
"2","Bedford","BK75","MULTIPOLYGON (((-73.9419307881619 40.7007252346955,-73.9443878859648 40.7004245237826,-73.9442428614747 40.6996992796478,-73.9440959126006 40.6989729551157,-73.9439494720526 40.6982212798388,-73.9439175019287 40.6980562021136,-73.9438038321182 40.6974692654499,-73.9437845558703 40.6973697290539,-73.9437430670684 40.6971554994525,-73.9437245356892 40.6970598121795,-73.9436842717992 40.6968519021112,-73.9436380686884 40.6966133185428,-73.94362121303 40.6965262791588,-73.9435563415294 40.696191282951,-73.9435402414939 40.6961081421151,-73.9435252747148 40.6960308552381,-73.9433880208443 40.695288990519,-73.9432424908608 40.6945574857334,-73.9431282674319 40.6939670383309,-73.9431142781376 40.6938947205575,-73.9431004089543 40.6938230290585,-73.9429513613159 40.6930907842359,-73.9428076518172 40.692357794129,-73.9426618173562 40.6916243443595,-73.942515879286 40.6908920009708,-73.9423693274869 40.6901599446653,-73.9422220347179 40.6894279788675,-73.9420768492442 40.6886972024809,-73.9419324508182 40.6879629587551,-73.9417852758431 40.6872283721212,-73.9416393315045 40.6864972700926,-73.941494917573 40.6857645293317,-73.9414074479442 40.6853271252533,-73.9413482718491 40.6850312025126,-73.9412039929162 40.6842998392336,-73.9410578378792 40.6835668728459,-73.9409133427312 40.6828336172343,-73.9407689332996 40.6821008390389,-73.9406200538213 40.6813701306052,-73.9404763500594 40.680635695423,-73.9403279396205 40.6798899750647,-73.9412086429974 40.6799383537522,-73.9432617692865 40.6800506071266,-73.9439734780497 40.6800881289296,-73.9462747097012 40.680213326427,-73.9467491597983 40.6802396618657,-73.9477302355664 40.6802918462823,-73.9495568871112 40.6803904029233,-73.9511582851295 40.6804786148068,-73.9515568267648 40.6804988475756,-73.9533701750886 40.6806405084443,-73.9535161685703 40.6813826004792,-73.9536625622716 40.6821149041161,-73.9538089353066 40.6828480082733,-73.9539545309954 40.683580778821,-73.95410042574 40.6843131076335,-73.9542464769621 40.6850462477593,-73.9543037414641 40.6853329691682,-73.9543929686742 40.6857797200136,-73.9545379867345 40.6865111749022,-73.9546841891655 40.6872448539349,-73.9568416519356 40.6869960793406,-73.9595677018738 40.686682555425,-73.9597137475645 40.6874156340909,-73.9598593949173 40.6881474512175,-73.9600051980264 40.6888810337182,-73.9600971463136 40.6893452100977,-73.9601467801996 40.6896087768416,-73.9601725613864 40.6897298620638,-73.9601869185824 40.6898034564911,-73.9602230453969 40.6899886278863,-73.9602374033646 40.6900622223053,-73.960292816681 40.6903462499155,-73.9601376080045 40.6903643803589,-73.9600833680044 40.6903707157072,-73.9595759191315 40.6904299875388,-73.9594279138657 40.6904472747141,-73.9593486238981 40.6904564609108,-73.9592813373065 40.6904642569695,-73.9589933049184 40.6904976293629,-73.9588671355939 40.6905122480146,-73.9585784470995 40.6905456943548,-73.9581804874994 40.6905907304058,-73.9580856350182 40.6906014642281,-73.957272491126 40.690693478354,-73.9563560295827 40.6907997819174,-73.9554105801562 40.6909082918861,-73.9558266283569 40.6929923828826,-73.956142393342 40.6945790190752,-73.9570870194247 40.6944704396604,-73.9579973297944 40.6943658391868,-73.9593104799365 40.6942150873296,-73.960158546583 40.6941173096586,-73.9606205653166 40.6963201401926,-73.9609254380419 40.6977365070164,-73.9610510063397 40.6983260788189,-73.9601968885747 40.6984627274386,-73.958858746274 40.6986773264162,-73.9579593822098 40.6988200032159,-73.9570199312341 40.6989739143496,-73.9571673010539 40.6997078679191,-73.9572251740565 40.6999993495237,-73.9574573643886 40.7008226031848,-73.9557236101487 40.7019457695573,-73.9538119690651 40.7031809797955,-73.9531808517232 40.7026169054775,-73.9525505277791 40.702051667017,-73.951920189279 40.7014875491608,-73.9516115023315 40.7012114967442,-73.9512881936869 40.7009223654857,-73.9502742404355 40.7015792419503,-73.9493787347733 40.7021588898261,-73.9475385814647 40.7033506506648,-73.9470520529753 40.7036639493402,-73.9462510778084 40.7032087479561,-73.9458549911283 40.7029872067752,-73.9454498819216 40.7027606359744,-73.9446391015485 40.7023136946746,-73.9443146016284 40.7021333453521,-73.9440050404872 40.7019617921972,-73.9438247380717 40.7018620078786,-73.9432268594627 40.7015207091455,-73.9430640691188 40.7014244350921,-73.9423899491481 40.701007724072,-73.9422005870526 40.7008906674678,-73.9419307881619 40.7007252346955)))",5,3,6654,33894,25932,7962,8098,NA
"3","Brooklyn Heights-Cobble Hill","BK09","MULTIPOLYGON (((-73.9923636697722 40.6896901237769,-73.994360928302 40.6902394800843,-73.9962327803455 40.6907577745863,-73.9977692437901 40.6911946978607,-73.9980304864499 40.6912537228762,-73.9984527178269 40.6913699834775,-73.9991005727256 40.6915369744964,-73.9992016187204 40.6915718343476,-73.9992881956256 40.6915939599271,-73.9993654019507 40.6916130782729,-73.9995127413904 40.6916514503088,-73.999915173006 40.6917672300103,-74.0001904032017 40.6918964471302,-74.0006230353021 40.6920414906675,-74.0006843896764 40.6918978147893,-74.0007730572262 40.6918957573262,-74.0017943198103 40.6921847767889,-74.0016998937267 40.6923827671366,-74.0017436204501 40.6924067497055,-74.0015417292026 40.6927859627501,-74.0012701496867 40.6932960621763,-74.0009586841699 40.6940690835822,-74.0007829527568 40.6942865156646,-74.0007010474514 40.6943878563422,-74.0002687231176 40.6949658025779,-73.9998821496038 40.6956051992456,-73.9994614344864 40.6962800266043,-73.9994197190206 40.6963469378185,-73.9994130243321 40.6963576764533,-73.9995237383748 40.6965748260408,-73.9994740682061 40.696704134462,-73.9992946883619 40.696795125794,-73.9991819895083 40.6968851880647,-73.9989960413919 40.6968122783729,-73.9989396896866 40.6969409405158,-73.9988720721042 40.6969237845741,-73.9987645802771 40.6971207325914,-73.9988711709766 40.6971575772958,-73.9983776068577 40.6980632961461,-73.9980210272511 40.6987617365738,-73.9979995754013 40.6987976855443,-73.9974989831 40.6996388693212,-73.9973674581169 40.6996342349297,-73.9971605424392 40.6997928126441,-73.9971814844639 40.6999944849681,-73.9971758435588 40.7001059919664,-73.997244628717 40.7001414098971,-73.9966976899746 40.7008769769171,-73.9953844838265 40.7026430100658,-73.9952601518342 40.7028102095388,-73.9951382684069 40.7029741147228,-73.9950643849152 40.7031003131509,-73.9950459274832 40.7031318397996,-73.9947092335518 40.7029938861221,-73.9943829783557 40.7028860014206,-73.9943251368301 40.7028624358855,-73.9941849479158 40.7028057988379,-73.9938520019108 40.7026739098332,-73.9938175500919 40.7026603093036,-73.9932538823713 40.702411971363,-73.9931659045128 40.7023652244115,-73.9929245997502 40.7022370067991,-73.9928286481606 40.7021847779436,-73.9926120497242 40.7020611290061,-73.9923276785681 40.7018553699125,-73.9922201371623 40.7017736625248,-73.9921106778866 40.7016934437185,-73.992066819264 40.7016588604082,-73.9920277285883 40.7016281415939,-73.9919364493596 40.7015564096339,-73.9912629454784 40.7010271026398,-73.9909320180753 40.7007662160487,-73.9908745375807 40.7006731172959,-73.9908351623932 40.7005697622639,-73.9908176649299 40.700462293323,-73.990822720965 40.7003547543094,-73.9908415791882 40.7002812570899,-73.9910295806776 40.6998471706178,-73.9912403320725 40.6993676020661,-73.9912866817043 40.6992347911401,-73.9913267684277 40.69910080492,-73.9913605411167 40.6989658144166,-73.9913879567048 40.6988299919219,-73.9914089802515 40.6986935105331,-73.9914235848954 40.698556544695,-73.9914317520357 40.69841926922,-73.9914334712884 40.6982818593146,-73.9914228982428 40.6977809928228,-73.9913681216377 40.6970137527357,-73.9912841368775 40.6965882097811,-73.9912310553198 40.6964312604624,-73.9912062099081 40.6963577981721,-73.9911749505649 40.6962513531075,-73.9911527137868 40.696184466954,-73.9908080377739 40.6950271337944,-73.9906660558735 40.694568823984,-73.9904447409424 40.6938282514336,-73.9904528650629 40.6937205847765,-73.9905879446407 40.6933913789695,-73.990728960485 40.6930477014476,-73.9908504147547 40.6927982506494,-73.9909718689958 40.692548800888,-73.9906662629096 40.6924971770631,-73.9894723855446 40.6922954943476,-73.9891054174307 40.6921533140247,-73.98902944699 40.69212386152,-73.9893027054392 40.6910602259912,-73.9893076854211 40.690991688468,-73.9897369012706 40.6903599726875,-73.9901661792263 40.6897295343344,-73.9905447461434 40.6891681057984,-73.9907066955894 40.6891367446132,-73.9923636697722 40.6896901237769)))",1,1,3127,4419,3407,1012,416,NA
"4","Brownsville","BK81","MULTIPOLYGON (((-73.8988069843351 40.6574066618045,-73.8988860174513 40.6573948837118,-73.8990418038891 40.6573716575709,-73.8994810921297 40.6573213434061,-73.8996854803117 40.6572979375518,-73.8998898683659 40.6572745209474,-73.9000267934867 40.6572538477758,-73.9002942613419 40.6572088826652,-73.9003948667883 40.657184205305,-73.900487672264 40.6571486793522,-73.9005749153564 40.6570999469574,-73.9006490470078 40.657041558237,-73.9011855984264 40.6565145516034,-73.9023023826135 40.6557806119897,-73.9024538324147 40.6556643666986,-73.9026191140187 40.6555581107334,-73.9027964159403 40.6554632105397,-73.9029836670883 40.6553807813938,-73.9031785841341 40.6553116338374,-73.9041422139296 40.6551464211386,-73.9044614396107 40.6550995357455,-73.904892617622 40.6550361998502,-73.9050705977532 40.6550100611955,-73.9055627274206 40.6549379101631,-73.9060678317493 40.6548638517688,-73.9069233424039 40.6547384200902,-73.9078434644204 40.6545915302439,-73.9078253825773 40.6545336035812,-73.9078015691646 40.6544389492885,-73.9074003572882 40.6528439901428,-73.9082160688995 40.6523120867792,-73.9085579052277 40.6520959377945,-73.90933499313 40.6528085921442,-73.9097001372462 40.6541529471971,-73.9097282751623 40.6542518642329,-73.9097427976828 40.65431111245,-73.9097575608643 40.6543671171716,-73.9097796208794 40.654466255084,-73.9101225569854 40.6558517710515,-73.9110832356023 40.6557023928239,-73.9119953838483 40.6555615596292,-73.9123645889664 40.6555135647468,-73.913143561926 40.6562208635447,-73.9137794374181 40.6567836792088,-73.9140287807934 40.6570037090844,-73.914412476905 40.657362419291,-73.9155662954619 40.6583925717178,-73.9157280376987 40.6585501282768,-73.9170736343648 40.6597453539629,-73.9174181921751 40.6600511921008,-73.9181849310437 40.6607262089155,-73.9182993627965 40.6611612579016,-73.9186016816377 40.661118048607,-73.9189360736859 40.6614160111762,-73.9192045097737 40.6616551996458,-73.9194572779273 40.6618807852924,-73.9195947982405 40.6619956797906,-73.9196271916865 40.6617080598724,-73.9196628089286 40.6614050329524,-73.9197439953144 40.6607709734478,-73.9199044050508 40.6603371167269,-73.919986347542 40.6601154668656,-73.9200816707168 40.6598576334602,-73.9202131308099 40.6599754407076,-73.9209090422093 40.6605991150383,-73.9227284304331 40.6622312319569,-73.9245494579815 40.6638625918889,-73.9263797054922 40.6655148926442,-73.9259220148363 40.6657150352011,-73.925462701954 40.6659167519916,-73.9243909938475 40.6663814232778,-73.9242446727456 40.6664450003867,-73.9233103969841 40.6668534604249,-73.9232322453733 40.6668876280695,-73.9231197845566 40.6669367936319,-73.9230343938023 40.6669741259334,-73.9228110653304 40.6670717607133,-73.9227525715443 40.6670973329616,-73.9222156408338 40.6673334464686,-73.9218717118045 40.6674806909704,-73.9210198884726 40.6678526975669,-73.9201486418941 40.6682294838749,-73.9200475399336 40.6682764295416,-73.9199557737918 40.6683193204024,-73.9194176334209 40.6683970440759,-73.9192306296568 40.6686313653061,-73.9183819115304 40.6690022473273,-73.9174826605964 40.6693922310996,-73.917135890443 40.6695437636796,-73.9165845995 40.6697875494858,-73.916522961134 40.6698142641832,-73.9164716345365 40.6698365091505,-73.9158621322573 40.6701006686886,-73.9158036191134 40.6701260281417,-73.9157287444946 40.6701584780958,-73.9155846732804 40.6702213634798,-73.91553422511 40.6702433835153,-73.9148724633771 40.6705322282206,-73.9146185779577 40.6706432382518,-73.9145448553806 40.6706754730158,-73.9140385719204 40.6708968398265,-73.9130857466364 40.6713102263325,-73.9122177689503 40.6716871625257,-73.9113353366663 40.6720764534606,-73.9111599554756 40.6721553511313,-73.9110986735532 40.6721829200987,-73.9110463101032 40.6722046420017,-73.9104630532335 40.6724466021025,-73.9103747393712 40.6724832387018,-73.9101928710569 40.6725586853012,-73.9101426502041 40.6725795195618,-73.9099583286372 40.6726559811034,-73.9098983341359 40.6726808693215,-73.9095417195881 40.6728288035936,-73.9092543806864 40.6729479987367,-73.9084193156619 40.6733133327236,-73.9083295415216 40.6733553030218,-73.9082780093334 40.6733793940076,-73.9078771150616 40.6735668093072,-73.9074684300854 40.6737616141356,-73.9069565542582 40.673985259133,-73.9062966210501 40.6742653330755,-73.9060943877936 40.674352932358,-73.9058262677317 40.6744696538598,-73.9052401287407 40.6747249462736,-73.904509123368 40.6750521109879,-73.9043879280041 40.6752067466064,-73.9042878673016 40.6752293555616,-73.9037437464614 40.675406834473,-73.903474223425 40.6755066832777,-73.9034622882073 40.6754579194751,-73.9034427236995 40.6753779190605,-73.9032213189808 40.6744729136889,-73.902967689961 40.6734393952623,-73.9026600835474 40.6721971791508,-73.9022882256012 40.6709360069666,-73.9019821814221 40.6696700711986,-73.9016676782461 40.6684135291922,-73.9012657039877 40.6668806501649,-73.9008513560651 40.665345894523,-73.9004165405505 40.6638065274331,-73.9005095779338 40.6637947059031,-73.9005909710379 40.6637821689425,-73.9007171200827 40.6637645532475,-73.9014511463786 40.6636583646576,-73.901053297551 40.6621248211084,-73.9006611869088 40.6605861585074,-73.900146584442 40.6606532773864,-73.8998890868797 40.6606398072876,-73.8997288040702 40.660704535085,-73.899652332798 40.6607354163782,-73.8992176082825 40.65911140369,-73.8988357145374 40.6575259423762,-73.8988183473785 40.6574538129022,-73.8988069843351 40.6574066618045)))",3,3,159,32964,25929,7035,8625,537000
